period,product,price,log_price,normalized_price
2022-02-01,WTI Crude Oil,91.64,4.517867857585295,0.8549003953436174
2022-01-01,WTI Crude Oil,83.22,4.421487703554795,0.8180087916690498
2022-01-01,UK Brent Crude Oil,86.51,4.460260014192283,0.8328497382516085
2021-12-01,UK Brent Crude Oil,74.17,4.306359755748467,0.7739410614909752
2021-12-01,WTI Crude Oil,71.71,4.272630207894483,0.7610303422244574
2021-11-01,WTI Crude Oil,79.15,4.371344786327021,0.7988154976962234
2021-11-01,UK Brent Crude Oil,81.05,4.395066248181685,0.8078954040122758
2021-10-01,WTI Crude Oil,81.48,4.400357591358605,0.809920780889421
2021-10-01,UK Brent Crude Oil,83.54,4.425325559069029,0.8194778144779009
2021-09-01,UK Brent Crude Oil,74.49,4.310664888188185,0.7755889447230601
2021-09-01,WTI Crude Oil,71.65,4.271793154274181,0.7607099417153984
2021-08-01,UK Brent Crude Oil,70.61,4.257171777528256,0.7551132912274099
2021-08-01,WTI Crude Oil,67.7,4.215086179918229,0.7390041118734829
2021-07-01,WTI Crude Oil,72.49,4.283448621312786,0.765171325648175
2021-07-01,UK Brent Crude Oil,75.17,4.319752215189378,0.7790673171075148
2021-06-01,WTI Crude Oil,71.38,4.268017718062014,0.7592648112542684
2021-06-01,UK Brent Crude Oil,73.16,4.292648823522665,0.768692903477832
2021-05-01,UK Brent Crude Oil,68.53,4.227271605597732,0.7436683490216396
2021-05-01,WTI Crude Oil,65.17,4.176999240344289,0.7244255059968586
2021-04-01,UK Brent Crude Oil,64.81,4.171459912439625,0.7223052075626222
2021-04-01,WTI Crude Oil,61.72,4.12260802749496,0.7036060843223352
2021-03-01,UK Brent Crude Oil,65.41,4.180675151973121,0.7258325412554939
2021-03-01,WTI Crude Oil,62.33,4.132442850820759,0.7073705772098435
2021-02-01,WTI Crude Oil,59.04,4.078215180292217,0.6866137549215028
2021-02-01,UK Brent Crude Oil,62.28,4.131640346965797,0.7070634013761633
2021-01-01,UK Brent Crude Oil,54.77,4.00314259879563,0.6578780888369445
2021-01-01,WTI Crude Oil,52.0,3.9512437185814275,0.6380126617759925
2020-12-01,WTI Crude Oil,47.02,3.8505730431119236,0.599478767548176
2020-12-01,UK Brent Crude Oil,49.99,3.911822985425479,0.6229235173480854
2020-11-01,UK Brent Crude Oil,42.69,3.7539647007698704,0.562499819826095
2020-11-01,WTI Crude Oil,40.94,3.7121075802331434,0.5464780950495308
2020-10-01,WTI Crude Oil,39.4,3.673765816303888,0.5318019495993555
2020-10-01,UK Brent Crude Oil,40.19,3.6936182084611096,0.5394008851979077
2020-09-01,UK Brent Crude Oil,40.91,3.711374531941307,0.5461975048457822
2020-09-01,WTI Crude Oil,39.63,3.679586407202344,0.534029907572007
2020-08-01,UK Brent Crude Oil,44.74,3.8008679560619836,0.580453062614399
2020-08-01,WTI Crude Oil,42.34,3.745732265706719,0.5593486759554359
2020-07-01,WTI Crude Oil,40.71,3.7064737625148876,0.5443216285806053
2020-07-01,UK Brent Crude Oil,43.24,3.7667659927710075,0.5673997932260018
2020-06-01,UK Brent Crude Oil,40.27,3.695606774863363,0.5401620523108932
2020-06-01,WTI Crude Oil,38.31,3.6457109587125576,0.5210633416585727
2020-05-01,WTI Crude Oil,28.56,3.3520071374713836,0.40864180550387263
2020-05-01,UK Brent Crude Oil,29.38,3.380314170745731,0.4194769391811809
2020-04-01,UK Brent Crude Oil,18.38,2.911263116927541,0.2399374296767349
2020-04-01,WTI Crude Oil,16.55,2.806386101823072,0.1997934673151339
2020-03-01,UK Brent Crude Oil,32.01,3.4660483539817717,0.45229356560310846
2020-03-01,WTI Crude Oil,29.21,3.3745111163996495,0.4172556937059986
2020-02-01,UK Brent Crude Oil,55.66,4.019261756097745,0.6640480474631719
2020-02-01,WTI Crude Oil,50.54,3.922765101960048,0.6271118508345261
2020-01-01,WTI Crude Oil,57.52,4.052132713412791,0.6766301224958242
2020-01-01,UK Brent Crude Oil,63.65,4.153399325003416,0.7153921242569485
2019-12-01,UK Brent Crude Oil,67.31,4.209308814022622,0.7367926992123633
